Code,name,Average gross disposable income
E09000001,City of London,56720.94949
E09000002,Barking and Dagenham,19233.17098
E09000003,Barnet,27455.07753
E09000004,Bexley,20767.45752
E09000005,Brent,23579.54458
E09000006,Bromley,27168.93583
E09000007,Camden,44890.47287
E09000008,Croydon,21766.18376
E09000009,Ealing,26655.87787
E09000010,Enfield,21443.6044
E09000011,Greenwich,21802.75777
E09000012,Hackney,20176.47554
E09000013,Hammersmith and Fulham,55549.74888
E09000014,Haringey,27179.70582
E09000015,Harrow,23928.71647
E09000016,Havering,20093.06511
E09000017,Hillingdon,23437.89076
E09000018,Hounslow,30230.73769
E09000019,Islington,29372.34707
E09000020,Kensington and Chelsea,62600.06506
E09000021,Kingston upon Thames,26948.29681
E09000022,Lambeth,24964.17107
E09000023,Lewisham,22140.96212
E09000024,Merton,27212.56277
E09000025,Newham,18535.23465
E09000026,Redbridge,20933.99883
E09000027,Richmond upon Thames,33260.41181
E09000028,Southwark,23282.15495
E09000029,Sutton,24967.19404
E09000030,Tower Hamlets,23226.98983
E09000031,Waltham Forest,21595.64149
E09000032,Wandsworth,37288.06179
E09000033,Westminster,50910.42839
