Code,Area,House price to median earnings
E09000001,City of London,14.83
E09000002,Barking and Dagenham,9.89
E09000003,Barnet,14.05
E09000004,Bexley,9.44
E09000005,Brent,15.21
E09000006,Bromley,10.85
E09000007,Camden,18.53
E09000008,Croydon,10.18
E09000009,Ealing,14.73
E09000010,Enfield,12.16
E09000011,Greenwich,11.87
E09000012,Hackney,16.67
E09000013,Hammersmith and Fulham,19.21
E09000014,Haringey,14.96
E09000015,Harrow,13.29
E09000016,Havering,9.78
E09000017,Hillingdon,11.64
E09000018,Hounslow,12.62
E09000019,Islington,16.51
E09000020,Kensington and Chelsea,30.46
E09000021,Kingston upon Thames,11.83
E09000022,Lambeth,15.01
E09000023,Lewisham,11.7
E09000024,Merton,13.44
E09000025,Newham,12.24
E09000026,Redbridge,11.26
E09000027,Richmond upon Thames,14.38
E09000028,Southwark,14.72
E09000029,Sutton,10.54
E09000030,Tower Hamlets,12.82
E09000031,Waltham Forest,13.22
E09000032,Wandsworth,15.12
E09000033,Westminster,23.48
